10880,2019-01-25,13:41:52,-5.3,-7.3,1015.4,1005.2,10.9,21.9,0.0,0.0,34.2,245,1,0,0,0,0,0
80250,2019-01-25,13:41:52,2.5,-2.9,1015.5,1019.7,8.4,12.0,0.25,0.0,50.0,219,0,1,0,0,0,0
128050,2019-01-25,13:41:52,-1.6,-5.1,1002.2,1019.6,15.6,14.7,0.08,1.1,90.9,4,1,1,1,0,0,0
539590,2019-01-25,13:41:52,-4.4,-14.0,1010.4,1029.3,14.0,7.9,0.01,0.0,50.0,238,1,1,0,0,0,0
724673,2019-01-25,13:41:52,-14.0,-20.1,1018.7,1018.6,14.6,11.5,0.01,0.0,87.3,134,1,1,0,0,0,0
724674,2019-01-25,13:41:52,-14.5,-17.5,1027.7,1023.0,15.2,6.1,0.02,0.0,74.7,124,1,1,0,0,0,0
724675,2019-01-25,13:41:52,-14.3,-20.1,891.7,1016.9,29.7,5.6,0.01,3.8,73.7,356,1,1,1,0,0,0
724680,2019-01-25,13:41:52,-1.2,-12.6,930.6,1011.7,91.7,12.7,0.0,0.0,98.7,305,1,0,0,0,0,0
724684,2019-01-25,13:41:52,-12.9,-20.9,996.2,1024.7,32.3,27.6,0.0,0.0,92.4,339,1,0,0,0,0,0
724685,2019-01-25,13:41:52,-10.8,-17.6,1013.6,1019.4,46.9,18.2,0.0,0.0,96.9,89,1,0,0,0,0,0
71500,2019-01-25,13:41:52,0.5,-1.9,1010.9,1014.1,9.5,15.2,0.08,0.0,50.1,137,0,1,0,0,0,0
122250,2019-01-25,13:41:52,-10.6,-12.3,1011.7,1023.4,6.4,5.2,0.06,0.0,51.1,186,1,1,0,0,0,0
264980,2019-01-25,13:41:52,-5.5,-7.2,1005.7,1011.8,6.4,9.4,0.29,1.6,50.0,190,1,1,1,0,0,0
264990,2019-01-25,13:41:52,-6.6,-9.0,993.8,1017.9,11.3,12.7,0.13,8.7,50.2,354,1,1,1,0,0,0
280660,2019-01-25,13:41:52,-14.2,-16.4,1011.9,1035.0,51.8,6.9,0.0,21.7,85.8,46,1,0,1,0,0,0
642100,2019-01-25,13:41:52,10.1,6.8,1004.7,1004.9,11.9,5.1,0.0,0.0,10.9,132,0,0,0,0,0,0
719160,2019-01-25,13:41:52,-17.8,-21.6,1024.6,1025.7,11.4,38.5,0.02,31.9,50.2,137,1,1,1,0,0,0
729330,2019-01-25,13:41:52,-13.2,-15.8,992.2,1022.2,20.8,9.7,0.0,33.0,70.9,214,1,0,1,0,0,0
824110,2019-01-25,13:41:52,23.2,20.0,986.9,1018.0,9.7,4.1,0.0,0.0,20.3,78,0,0,0,0,0,0
948320,2019-01-25,13:41:52,14.2,10.4,1002.9,1006.4,43.6,23.0,0.06,0.0,50.1,39,0,1,0,0,0,0
25840,2019-01-25,13:41:52,0.2,-2.1,1008.9,1009.3,11.4,27.5,0.11,3.3,50.1,294,0,1,1,0,0,0
130670,2019-01-25,13:41:52,-2.1,-4.1,1019.2,1021.4,5.0,9.1,0.05,1.7,91.6,94,1,1,1,0,0,0
711380,2019-01-25,13:41:52,-23.3,-28.1,956.4,1020.0,19.3,15.3,0.03,9.2,80.6,321,1,1,1,0,0,0
722057,2019-01-25,13:41:52,10.3,4.3,1008.2,1006.1,17.5,13.7,0.01,0.0,50.1,273,0,1,0,0,0,0
722059,2019-01-25,13:41:52,-21.1,-24.7,1005.1,1004.6,13.3,11.1,0.0,0.0,95.4,23,1,0,0,0,0,0
722065,2019-01-25,13:41:52,7.1,0.3,1017.2,1019.2,10.7,13.5,0.13,0.0,50.1,115,0,1,0,0,0,0
722068,2019-01-25,13:41:52,6.0,1.4,1009.2,1004.6,12.0,13.2,0.03,0.0,50.2,313,0,1,0,0,0,0
722069,2019-01-25,13:41:52,6.3,0.3,1055.2,1022.5,16.2,13.3,0.03,0.0,94.1,115,0,1,0,0,0,0
722070,2019-01-25,13:41:52,3.4,-2.1,1019.2,1020.9,19.2,13.1,0.08,0.0,79.5,92,0,1,0,0,0,0
