215410,-21.17,-23.91,1012.05,1003.8,17.68,23.23,0.0,0.0,25.88,163.61
604680,1.71,-5.98,913.42,903.26,11.67,16.64,0.01,0.0,50.38,350.21
728190,-31.08,-34.0,996.99,1011.8,22.2,23.85,0.0,0.0,43.35,106.07
107060,-0.93,-3.89,991.39,1017.97,13.36,15.24,0.13,0.1,80.17,306.66
154215,-1.21,-1.77,985.63,1000.16,3.51,3.62,0.0,0.0,26.49,176.11
124550,-1.34,-4.16,1004.9,1017.89,6.48,17.57,0.04,2.6,72.41,23.92
988360,17.02,10.77,1014.06,1010.2,18.36,6.53,0.12,0.0,50.2,305.37
14520,-1.73,-4.94,1005.03,1006.1,12.45,14.11,0.17,2.6,50.5,319.67
728080,-2.12,-3.66,988.5,990.36,16.27,41.03,0.47,10.77,67.15,75.67
728070,-19.98,-23.84,1013.15,1013.11,22.86,30.26,0.0,3.8,50.2,229.43
317700,-18.88,-24.13,1019.84,1014.1,16.81,12.89,0.1,11.3,83.8,51.9
115410,-3.66,-6.83,997.1,1020.8,9.04,8.94,0.01,0.79,91.89,181.44
837800,18.84,14.24,938.5,1001.2,8.92,9.76,0.44,0.0,52.87,90.99
84820,6.43,1.75,1020.74,1020.9,10.57,11.47,0.18,0.0,50.55,103.87
406080,-1.25,-5.65,1030.82,1021.32,20.31,7.0,0.0,0.0,63.44,340.83
282780,-10.67,-14.11,1007.58,1018.28,25.78,12.52,0.02,0.0,92.53,14.23
484750,27.49,21.87,1010.03,1011.7,7.19,6.4,0.01,0.0,50.82,77.97
527650,-6.36,-17.95,717.2,717.36,19.91,6.72,0.0,0.0,43.79,234.19
38170,3.65,1.4,1010.93,1015.01,10.54,25.51,0.17,0.0,50.38,297.17
344990,-7.08,-8.67,992.7,1008.91,18.08,25.36,0.02,2.0,50.47,240.74
285060,-11.5,-13.58,1014.98,1018.82,9.18,19.95,0.05,4.7,80.81,178.8
20800,-7.16,-8.71,974.6,1007.8,38.58,11.53,0.03,13.1,50.19,316.0
67200,-2.05,-5.88,979.07,1022.0,10.48,3.78,0.11,1.1,50.13,61.08
20820,-4.04,-5.14,1014.16,1020.53,14.42,20.15,0.01,0.0,50.5,38.46
875320,11.55,-0.69,983.0,1015.0,18.06,17.09,0.0,0.0,44.77,202.48
102150,-0.1,-2.54,1005.93,1007.79,7.02,15.94,0.02,0.1,88.95,176.04
144280,3.89,-0.36,1015.9,1016.7,15.47,14.7,0.03,0.0,50.3,35.7
144270,2.41,-0.86,1051.34,1029.0,24.58,18.27,0.0,0.0,77.6,204.28
664100,11.63,3.76,992.15,986.04,25.83,6.18,0.0,0.0,94.17,174.24
20830,-1.99,-3.41,1033.58,1019.9,9.14,22.45,0.01,1.47,50.19,144.35
726330,-12.04,-15.26,996.13,1024.57,16.73,19.15,0.1,22.4,50.06,149.7
