161460,2019-01-30,22:29:28,5.8,5.6,1027.6,1028.4,0.7,3.9,0.0,0.0,17.6,347,0,0,0,0,0,0
239870,2019-01-30,22:29:28,-18.1,-20.2,1019.3,1031.1,15.6,11.9,0.06,69.3,50.0,325,1,1,1,0,0,0
20660,2019-01-30,22:29:28,-11.533335,-16.2,1044.4,1018.1,33.5,7.3,0.0,30.9,50.1,51,1,0,1,0,0,0
408230,2019-01-30,22:29:28,-1.9,-15.0,1000.6,971.4,14.6,15.3,0.0,0.0,45.6,1,1,0,0,0,0,0
161470,2019-01-30,22:29:28,-0.2,-4.0,1001.1,1000.9,5.8,4.7,0.31,0.0,50.0,328,1,1,0,0,0,0
117300,2019-01-30,22:29:28,-4.6,-4.4,860.2,855.8,0.5,47.4,0.12,45.0,51.4,83,1,1,1,0,0,0
525760,2019-01-30,22:29:28,-8.1,-19.4,851.3,858.0,30.6,13.8,0.0,0.0,30.5,295,1,0,0,0,0,0
681740,2019-01-30,22:29:28,15.6,10.0,878.2,890.8,22.0,10.4,0.19,0.0,74.9,275,0,1,0,0,0,0
20620,2019-01-30,22:29:28,-10.0,-11.4,994.9,1017.5,33.5,5.2,0.0,35.7,50.1,346,1,0,1,0,0,0
315870,2019-01-30,22:29:28,-30.8,-34.2,1022.1,1023.2,24.9,6.8,0.01,4.6,73.5,297,1,1,1,0,0,0
605310,2019-01-30,22:29:28,6.7,3.2,1024.1,1020.0,10.9,7.7,0.06,0.0,65.1,285,0,1,0,0,0,0
969960,2019-01-30,22:29:28,24.7,21.4,1008.7,1014.3,18.3,15.9,0.4,0.0,50.0,54,0,1,0,0,0,0
636410,2019-01-30,22:29:28,12.8,7.5,1009.3,999.3,22.4,40.9,0.0,0.0,68.0,243,0,0,0,0,0,0
727670,2019-01-30,22:29:28,-8.2,-12.9,954.9,1018.6,19.5,14.7,0.02,12.4,74.3,193,1,1,1,0,0,0
62350,2019-01-30,22:29:28,0.7,-0.9,1019.7,1015.8,10.1,23.3,0.12,0.2,59.5,111,0,1,1,0,0,0
477150,2019-01-30,22:29:28,-4.0,-10.2,1002.1,1003.8,9.6,8.3,0.0,0.0,63.5,141,1,0,0,0,0,0
62390,2019-01-30,22:29:28,5.2,3.5,1016.5,1022.6,8.9,49.0,0.0,0.0,67.3,22,0,0,0,0,0,0
605250,2019-01-30,22:29:28,7.7,-1.4,1004.0,1018.9,11.5,13.3,0.06,0.0,50.1,331,0,1,0,0,0,0
107635,2019-01-30,22:29:28,3.7,0.9,977.9,986.2,11.3,24.8,0.0,0.0,21.5,103,0,0,0,0,0,0
745090,2019-01-30,22:29:28,2.6,-3.8,1016.8,1019.2,12.2,6.0,0.14,0.0,50.0,272,0,1,0,0,0,0
228670,2019-01-30,22:29:28,-16.1,-18.3,1016.8,998.1,19.5,0.6,0.0,0.0,55.1,115,1,0,0,0,0,0
471330,2019-01-30,22:29:28,-7.5,-14.5,1015.8,1023.8,16.0,5.5,0.07,0.1,96.9,274,1,1,1,0,0,0
471340,2019-01-30,22:29:28,-9.1,-16.7,1000.3,1007.4,10.8,11.3,0.0,0.2,50.2,174,1,0,1,0,0,0
506030,2019-01-30,22:29:28,-13.3,-18.7,985.6,1031.6,29.4,11.7,0.0,0.0,41.0,150,1,0,0,0,0,0
718340,2019-01-30,22:29:28,-9.6,-12.4,971.2,1016.1,19.2,10.9,0.21,45.9,63.7,352,1,1,1,0,0,0
104060,2019-01-30,22:29:28,0.3,-1.9,1013.9,1015.0,9.3,16.1,0.1,0.0,61.7,72,0,1,0,0,0,0
718360,2019-01-30,22:29:28,-11.2,-15.5,1014.6,1014.8,9.7,17.2,0.17,0.0,50.0,224,1,1,0,0,0,0
471350,2019-01-30,22:29:28,-7.1,-15.3,1008.8,1023.3,20.5,15.0,0.05,0.6,50.1,109,1,1,1,0,0,0
